country,date,GDP_Current_USD
High income,2023,67653743404264.1
High income,2022,64444446480056.6
High income,2021,62461025675219.6
High income,2020,55791128824226.2
High income,2019,57218295248360.4
High income,2018,56684556889445.8
High income,2017,53336788717601.6
High income,2016,50737236574099.6
High income,2015,49773105280474.2
High income,2014,53310162826089.2
High income,2013,52439877375602.6
High income,2012,51710003724530.8
High income,2011,51524951092552.4
High income,2010,47340327876456.0
High income,2009,44940316093124.7
High income,2008,48338201243505.7
High income,2007,45098647855102.5
High income,2006,40986059390577.0
High income,2005,38623901277744.3
High income,2004,36387608557612.3
High income,2003,32574954634084.8
High income,2002,29022750091985.2
High income,2001,27811072270318.1
High income,2000,28036716903140.2
High income,1999,27403905274743.6
High income,1998,26174130826663.1
High income,1997,26208151153812.5
High income,1996,26643709351548.8
High income,1995,26430046395918.6
High income,1994,23818722465725.5
High income,1993,22272082420753.7
High income,1992,22119166125283.0
High income,1991,20659797917552.1
High income,1990,19577046428304.5
High income,1989,17481687412866.6
High income,1988,16785555755731.4
High income,1987,14914230823363.0
High income,1986,12863823517433.6
High income,1985,10589659647967.2
High income,1984,10091350207473.4
High income,1983,9680375566671.56
High income,1982,9370788287370.27
High income,1981,9463529620224.13
High income,1980,9318973466251.51
High income,1979,8349033768623.12
High income,1978,7224423199614.21
High income,1977,6017649327457.82
High income,1976,5316705508568.4
High income,1975,4881968689614.13
High income,1974,4374887819976.59
High income,1973,3869203380449.93
High income,1972,3189501756772.02
High income,1971,2745745471453.58
High income,1970,2471430871017.0
High income,1969,2251670738554.68
High income,1968,2042819926658.1
High income,1967,1883245565212.18
High income,1966,1762770956963.86
High income,1965,1610880796545.4
High income,1964,1482006061458.11
High income,1963,1355913364088.1
High income,1962,1260544911051.24
High income,1961,1165571615004.35
High income,1960,1092681910636.61
Low income,2023,646797730009.089
Low income,2022,530578689814.764
Low income,2021,466420564539.205
Low income,2020,439782467036.046
Low income,2019,445278364305.202
Low income,2018,418228093932.972
Low income,2017,401921089084.376
Low income,2016,383741508244.759
Low income,2015,416120726145.318
Low income,2014,422083905892.021
Low income,2013,394195409295.525
Low income,2012,381701640886.411
Low income,2011,404514516429.277
Low income,2010,372940632041.912
Low income,2009,338898157425.069
Low income,2008,340460080321.201
Low income,2007,282893624749.081
Low income,2006,232208542309.02
Low income,2005,199723321087.33
Low income,2004,167196877615.717
Low income,2003,142978584361.763
Low income,2002,128027966515.984
Low income,2001,116417867734.747
Low income,2000,123908609247.707
Low income,1999,100732241436.726
Low income,1998,99814560375.6219
Low income,1997,98821120247.7454
Low income,1996,92529748881.5904
Low income,1995,95755547189.2036
Low income,1994,103210150492.258
Low income,1993,110352175466.11
Low income,1992,103352914778.295
Low income,1991,150993763705.441
Low income,1990,134347494494.303
Low income,1989,107335669383.768
Low income,1988,98924794835.559
Low income,1987,92958586119.6511
Low income,1986,87036099939.5854
Low income,1985,83637573681.0212
Low income,1984,85877398913.047
Low income,1983,83287284892.7074
Low income,1982,81995485614.893
Low income,1981,82418257129.4208
Low income,1980,77122651920.4901
Low income,1979,
Low income,1978,
Low income,1977,
Low income,1976,
Low income,1975,
Low income,1974,
Low income,1973,
Low income,1972,
Low income,1971,
Low income,1970,
Low income,1969,
Low income,1968,
Low income,1967,
Low income,1966,
Low income,1965,
Low income,1964,
Low income,1963,
Low income,1962,
Low income,1961,
Low income,1960,
Middle income,2023,36786942112904.5
Middle income,2022,35907869702102.2
Middle income,2021,34266063721746.8
Middle income,2020,29051739634677.8
Middle income,2019,29978481798259.3
Middle income,2018,29284043921765.4
Middle income,2017,27530340426178.0
Middle income,2016,25202592678135.5
Middle income,2015,24911694910932.1
Middle income,2014,25680744767168.3
Middle income,2013,24546674700274.3
Middle income,2012,23131481309284.9
Middle income,2011,21713900541468.3
Middle income,2010,18410290632937.1
Middle income,2009,15112134343474.1
Middle income,2008,15080296673808.4
Middle income,2007,12703066994715.0
Middle income,2006,10346313007674.3
Middle income,2005,8788211804677.96
Middle income,2004,7444671186560.86
Middle income,2003,6346256902458.92
Middle income,2002,5670206841562.76
Middle income,2001,5572267083031.9
Middle income,2000,5557879880102.09
Middle income,1999,5122654498526.61
Middle income,1998,5326398707103.19
Middle income,1997,5353982644746.82
Middle income,1996,5044736122063.44
Middle income,1995,4532077392613.59
Middle income,1994,3955758244455.77
Middle income,1993,3516032465649.86
Middle income,1992,3176786976145.74
Middle income,1991,2962306114789.95
Middle income,1990,3069619982603.02
Middle income,1989,2693997677976.97
Middle income,1988,2605947790285.92
Middle income,1987,2449690187383.7
Middle income,1986,2398887158157.91
Middle income,1985,2400309598881.92
Middle income,1984,2321998212571.33
Middle income,1983,2252789513944.26
Middle income,1982,2249264646628.97
Middle income,1981,2316123721215.22
Middle income,1980,2046090053815.55
Middle income,1979,1694486071402.47
Middle income,1978,1403711737729.72
Middle income,1977,1298191475737.61
Middle income,1976,1157806517207.48
Middle income,1975,1083426431226.23
Middle income,1974,959290771482.415
Middle income,1973,762749412532.936
Middle income,1972,614334521122.845
Middle income,1971,547623110810.6
Middle income,1970,513783083528.124
Middle income,1969,468893137990.151
Middle income,1968,420802105645.292
Middle income,1967,398430848629.282
Middle income,1966,382481545637.416
Middle income,1965,375732002588.539
Middle income,1964,340749024777.366
Middle income,1963,298767047598.606
Middle income,1962,271024736960.956
Middle income,1961,267466073756.102
Middle income,1960,270718545932.67
Algeria,2023,239899491127.742
Algeria,2022,225560256621.757
Algeria,2021,186265418570.697
Algeria,2020,164873415325.201
Algeria,2019,193459662090.677
Algeria,2018,194554483655.528
Algeria,2017,189880896903.073
Algeria,2016,180763839522.151
Algeria,2015,187493855609.345
Algeria,2014,238942664192.59
Algeria,2013,229701430292.157
Algeria,2012,227143746075.934
Algeria,2011,218331946925.304
Algeria,2010,177785053939.531
Algeria,2009,150317292079.359
Algeria,2008,180383848331.135
Algeria,2007,142482739809.849
Algeria,2006,123084258693.01
Algeria,2005,107046618669.707
Algeria,2004,91913680985.1708
Algeria,2003,73482264190.9245
Algeria,2002,61516103406.1688
Algeria,2001,59413400923.6364
Algeria,2000,54790398570.3282
Algeria,1999,48640671734.9711
Algeria,1998,48187781984.4881
Algeria,1997,48177612042.1507
Algeria,1996,46941554225.3581
Algeria,1995,41764291671.7711
Algeria,1994,42543176828.9237
Algeria,1993,49945584452.6506
Algeria,1992,48003133346.9957
Algeria,1991,45715676428.2766
Algeria,1990,62048507531.3357
Algeria,1989,55634721572.7343
Algeria,1988,59089396860.4342
Algeria,1987,66745818375.493
Algeria,1986,63692007897.3834
Algeria,1985,57937868670.1937
Algeria,1984,53698548293.0745
Algeria,1983,48801369800.3675
Algeria,1982,45207167470.3497
Algeria,1981,44348590460.9288
Algeria,1980,42345829079.2062
Algeria,1979,33243706859.6596
Algeria,1978,26364491313.4471
Algeria,1977,20972113684.9558
Algeria,1976,17728240932.3158
Algeria,1975,15557902754.033
Algeria,1974,13209871625.9044
Algeria,1973,8707858912.12481
Algeria,1972,6766743956.88889
Algeria,1971,5077183093.88968
Algeria,1970,4863526896.57407
Algeria,1969,4257253264.08834
Algeria,1968,3852147026.77302
Algeria,1967,3370870376.29682
Algeria,1966,3039859187.45164
Algeria,1965,3136284306.85469
Algeria,1964,2909316435.2874
Algeria,1963,2702982017.63803
Algeria,1962,2001444543.91885
Algeria,1961,2434747055.94018
Algeria,1960,2723615451.30098
"Egypt, Arab Rep.",2023,395926075163.006
"Egypt, Arab Rep.",2022,476747720364.742
"Egypt, Arab Rep.",2021,424671765455.704
"Egypt, Arab Rep.",2020,383817841547.099
"Egypt, Arab Rep.",2019,318678815489.749
"Egypt, Arab Rep.",2018,262588632526.73
"Egypt, Arab Rep.",2017,248362771739.13
"Egypt, Arab Rep.",2016,332441717791.411
"Egypt, Arab Rep.",2015,329366576819.407
"Egypt, Arab Rep.",2014,305595408895.265
"Egypt, Arab Rep.",2013,288434108527.132
"Egypt, Arab Rep.",2012,279116666666.667
"Egypt, Arab Rep.",2011,235989672977.625
"Egypt, Arab Rep.",2010,218983666061.706
"Egypt, Arab Rep.",2009,189147005444.646
"Egypt, Arab Rep.",2008,162818181818.182
"Egypt, Arab Rep.",2007,130437828371.278
"Egypt, Arab Rep.",2006,107426086956.522
"Egypt, Arab Rep.",2005,89600665557.4043
